seed,runtime_seconds,accuracy,average_precision,auroc,f1_score,confusion_tn,confusion_fp,confusion_fn,confusion_tp,weighted_accuracy,TPR,recall,sensitivity,FPR,PPV,precision,NPV,TNR,specificity,BS,ECE,loss
800,57.69028916396201,0.8578680203045685,0.8549695102531809,0.9270405836753307,0.78125,119,10,18,50,0.8509732360097324,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.07751937984496124,0.8333333333333334,0.8333333333333334,0.8686131386861314,0.9224806201550387,0.9224806201550387,0.09994261992756541,0.04599729044183257,0.32556961756672353
812,58.7702560685575,0.883248730964467,0.8651819494450196,0.9236206110351117,0.8270676691729323,119,10,13,55,0.8738344988344988,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.07751937984496124,0.8461538461538461,0.8461538461538461,0.9015151515151515,0.9224806201550387,0.9224806201550387,0.1002480242802503,0.07678251097044969,0.3291172472958637
819,58.406743977218866,0.8781725888324873,0.8745800764306829,0.9295485636114912,0.8181818181818182,119,10,14,54,0.8692434210526316,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.07751937984496124,0.84375,0.84375,0.8947368421052632,0.9224806201550387,0.9224806201550387,0.09758643902836604,0.056753892583895474,0.31922548555480645
821,57.620336102321744,0.868020304568528,0.8415833871636226,0.9157546739626082,0.8,119,10,16,52,0.8600955794504181,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.07751937984496124,0.8387096774193549,0.8387096774193549,0.8814814814814815,0.9224806201550387,0.9224806201550387,0.10606163436243109,0.0594681377338274,0.34866650576518876
856,58.946047792211175,0.868020304568528,0.8681092492079031,0.9296625626994983,0.796875,120,9,17,51,0.862956204379562,0.75,0.75,0.75,0.06976744186046512,0.85,0.85,0.8759124087591241,0.9302325581395349,0.9302325581395349,0.09789952318025581,0.03566024720971355,0.3224932481794793
870,58.298351142555475,0.8730964467005076,0.8705708482590657,0.9294345645234838,0.8148148148148148,117,12,13,55,0.8604477611940299,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.09302325581395349,0.8208955223880597,0.8208955223880597,0.9,0.9069767441860465,0.9069767441860465,0.09997560282126867,0.055161541186008356,0.32426169923114295
879,58.50463407859206,0.8934010152284264,0.8851627893260088,0.9427724578203374,0.8421052631578947,120,9,12,56,0.8853146853146854,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.06976744186046512,0.8615384615384616,0.8615384615384616,0.9090909090909091,0.9302325581395349,0.9302325581395349,0.08941689862993749,0.05631670401181062,0.3011618483490145
900,57.735625844448805,0.8730964467005076,0.8374762798636309,0.9219106247150023,0.8120300751879699,118,11,14,54,0.8623543123543124,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.08527131782945736,0.8307692307692308,0.8307692307692308,0.8939393939393939,0.9147286821705426,0.9147286821705426,0.10256991732359971,0.05544441545070125,0.3365916915351364
958,57.67003876157105,0.868020304568528,0.8599526666614546,0.927610579115367,0.803030303030303,118,11,15,53,0.8576715225563909,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.08527131782945736,0.828125,0.828125,0.8872180451127819,0.9147286821705426,0.9147286821705426,0.09937976728423215,0.056693988705649595,0.32701103094265543
986,57.75235143490136,0.8781725888324873,0.8581638297357769,0.9273825809393524,0.8181818181818182,119,10,14,54,0.8692434210526316,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.07751937984496124,0.84375,0.84375,0.8947368421052632,0.9224806201550387,0.9224806201550387,0.09950871701696262,0.05121533307932355,0.3232983429419813
987,57.701290123164654,0.8578680203045685,0.8650679922672874,0.9304605563155495,0.78125,119,10,18,50,0.8509732360097324,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.07751937984496124,0.8333333333333334,0.8333333333333334,0.8686131386861314,0.9224806201550387,0.9224806201550387,0.09915654480457278,0.04351211532118356,0.32670422858998255
